ASIN,Manufacturer,Product Description,Description
B07F342RQD,SKYBAGS,"VIP Industries Limited is a renowned brand specializing in the manufacturing of quality bags for a wide range of purposes. With a rich history and extensive expertise in the industry, VIP Industries has established itself as a trusted provider of bags for numerous renowned brands. From travel luggage to stylish backpacks, business cases to trendy handbags, VIP Industries offers a diverse portfolio of products that cater to the diverse needs and preferences of its customers.","Material: Polyester   Closure :Zip   Lightweight: Our products are strive to be lightweight to minimize the overall weight and strain of carrying them, particularly during travel.   Durability: Our products are designed to be durable and long-lasting, able to withstand the rigors of everyday use or the demands of travel without easily succumbing to wear and tear.   Easy Maintenance: Ourproducts are easy to clean and maintain, with materials that are resistant to stains or can be easily wiped clean."
B089QCNBWH,"ArcticFox,OutshinyIndiaPvt.Ltd.,No.17,GaneshNagar,8thBCross,NarayanappaLayout,Kodigehalli,Bengaluru-560097.","• Alarm function, when unzipped by unauthorized person.  • Built-in alarm chip with rechargeable battery which lasts for approximately 2 months.  • Reminder function to close the bag if left open for more than 45 sec.  • Optional Activate/ Deactivate Alarm System.                                                                                                                                                                                                                                                                                      The Alarm Anti-Theft Backpack has a built-in USB Port that offers a hands-free convenient charging of your electronic devices. It offers a pocket to keep your power bank as well.  An ergonomically designed Airflow Back System supported by padded shoulder straps with adjustable webbing is a major addition to our backpacks to even out the weight on your shoulders..  A first-aid essential kit to back you up in the case of an injury. The kit holds Elastic Adhesive Bandage, Absorbent Gauze, Combine Dressing, Cotton Elastic Bandage, Cetrimide Cream, and Adhesive Plaster. This will relieve your pain to an extent, but we advise you to visit the nearest hospital in case of an emergency.  All our Arctic Fox bags are fabricated with water repellent fabrics. The Alarm Anti-Theft backpack has a 35-litre capacity and is constructed with 400D Twill Polyester PU coated fabric.  A padded sleeve with a 15-inch laptop compatibility and a padded tablet sleeves a major feature in our Alarm Anti-Theft backpack.                                                                                                                                                                                         The backpack is equipped with a spacious anti-theft single compartment that protects your valuables from external forces. It enables the users to pack more efficiently using the smart organizers like the zipper pocket, the mesh zipper pocket, the two flat pockets, the small mesh pocket, and the two pen loops.  The backpack is secured with an advanced alarm zipper and runner. An alarm beeps if an unauthorized person tries to open your backpack. The runner is chargeable and has a battery backup of up to two months.  The Alarm Anti-Theft Anti-Theft backpack comes with a water repellent Rain Cover enabling extra protection from natural elements. It can be worn on the back as you set out through nature.","Introducing our latest upgraded Anti-Theft backpack with Alarm System, designed with an extra layer of protection for your personal belongings.   USB Charge External USB port with built-in charging cable offers a convenient charging of your electronic device anywhere, and this bag do not include a battery, you need a power bank to charge it   Spacious compartment,Drawstring rain bag to protect your pack from rain,Airflow back system with padded shoulder strap , Litter pouch and Side drink pouch.   15.5 Inch Laptop Compartment, Size: HxWxD : 46X34X23 CM, Capacity (Liters): 35   Included Items : Backpack, USB Cable, Rain cover Bag and Zipper Charger Cable, Warranty: One Year."
B016DCB9OO,"ShalimarPlasticIndustries,Daman","Shalimar garbage bags comes in roll form and in convenient packs of 30 or 15 bags. Each bag has a unique detachable tie-tape to tie the bags after use and for easy disposal. They are tough, thanks to a special type of star seal at the bottom. It comes with a simple perforation technology for quickly separating the bags from the roll. Our Garbage Bags are designed to spread the word of hygiene and cleanliness by easy disposal of waste. These bags offer great flexibility, convenience and ensure a high degree of hygiene, whether at home or in office. Garbage bag is a very useful product for places like Kitchen, Offices, Parties, etc.  ""Shalimar Group"" is a four decade old company based on manufacturing of plastic packaging products used for Retail and Industrial market. In the retail market, we are the leading manufacturer of OXO Garbage Bags. We have our presence across India. 'Quality', 'Value' and 'Goodwill' are the three core words that govern our activities; these define our image, hard work, enhanced qualitative thinking and help us to develop products for customers seeking quality, dependability and excellence. We believe in providing great service to our customers, therefore any query regarding our products feel free to reach out to us.",Bag on Roll with Detachable tie-tape to tie the Bag after use   Star sealed bottom provides extra strength and prevents any leakage   Most convenient method of Garbage disposal to maintain Cleanliness and Hygiene   Black colour bags made of Virgin Raw Material. Also known as Trash Bag / Dustbin Bag   Size:- 48 cm x 56 cm
B07NLB6FRS,Nivia,"Nivia Basic Duffle Gym Bag has a large compartment with one pocket and a side mash pocket for a water bottle. Made with high-quality accessories and a zipper, this bag has adjustable handles as well as a shoulder strap for better comfort, it will keep your stuff organized and carry it comfortably through the day.                                                                                                                                                                                                                                                                                      The top grab handles is positioned in a way that allows you to quickly grab the bag and go, without having to fumble around for the handles.  The basic Duffle Bag has strong  and durable robe  with resistant to wear and tear, and is not easily fray or break. Also resist moisture, mildew, and UV rays.  The main compartment of this duffle bag is the heart of the bag and  secured with a reliable zipper to ensure the safety of your belongings.  The overall design of the bag is made of water-resistant polyester material , with no gaps or holes that can allow water to seep in.  We have an excellent range of gym bags with a wide range of designs, and colors with stylish contoured designs these  duffle bags are made from tough polyester with attractive patterns .These bags comes with right size to hold all your gym essentials, such as workout clothes, shoes, water bottle, and towels. Also comes with durable and sturdy materials that can withstand the wear and tear of frequent use.","Strong stitching at major stress points provide long-lasting durability against daily activities   Adjustable shoulder strap   Main large compartment with double zip closure   High quality double zippers, easy to access   Highly water-resistant finish to save inner items from water splashes"
B0C2D2GPWJ,TabelitoTradeIndia,"We aim at providing India top-notch designer goods that undergo stringent quality checks and come with a six-month replacement service.  At TABELITO, we specialize in crafting high-quality LAPTOP BRIEFCASE, SCHOOL BACKPACK, COLLEGE BAG, TRAVEL BACKPACK and OFFICE BACKPACKS designed to exceed your expectations. With our commitment to style, comfort, and durability.  Our products are crafted using premium materials and a keen eye for detail. From the robust stitching to the carefully selected fabrics, we ensure that each bag meets the highest standards of quality.","Care Instructions: Hand Wash Only   Fit Type: regular   The front and side zipper compartments of the backpack make it simple to store items like tablets, diaries, pens, pencils, smartphones, cards, change and other small items. The backpack's side pockets make it easy to carry along tiny goods like mini umbrellas and water bottles.   MADE IN INDIA - This ""MAKE IN INDIA"" laptop bag for men has 2 front zip pockets, 2 side bottle pockets, and 1 huge zipped section. For men, women, boys, and girls, this bag works great for the office, school, and college. In fact, it's the ideal all-purpose backpack for men, school bags for girls and boys, college bags for girls and boys and workplace bags for unisex   LAPTOP BACKPACK SPECIFICATIONS - Men's NEO Laptop Backpack; Compartment Size: Up to 15.6 Inches. 30 litres is the capacity. 15 x 11.5 x 3 inches in size.   NEO padded laptop backpack with internal organiser and sleeve that can handle up to 15.6"" laptops. Compatible laptops include those made by HP, Lenovo, Acer, ASUS, and Dell. Your keys, cords, office supplies, and other valuables can be neatly organised inside the organiser to avoid theft.   The Tabelito Casual Backpack is entirely produced in India and goes through strict quality inspections and tests. Water Resistant Material: The material has an advanced IPX4 coating that prevents water from penetrating from any angle.   The backpack features a 30L capacity and a padded laptop pocket that fits a 15.6 inch laptop. Additional necessities that can fit within are a lunchbox, charger, tablet, books, power bank, wallet, and sunglasses."
B01HMQ4HLW,HUL,,"Zero Calories : Green Tea, when had without milk or sugar, not only tastes great but contains virtually zero calories;Next best to water : Brewed, unsweetened Green Tea being 99% water is a great way to meet your daily required fluid intake   Country of Origin: India; Heart health : Consumption of Green Tea as a part of a healthy lifestyle may help maintain a healthy heart as it is thought to have a protective effect against cardiovascular diseases   Simply Delicious flavour and great taste   Soothing aroma of a warm cup of green tea may help you relax   Material Features: Vegetarian; Caffeine Content: Medium Caffeine   form_factor:Tea bag | material_features:vegetarian   allergen_information:allergen_free | caffeine_content:medium caffeine   ingredients:green tea, honey lemon flavor, tea |"
B08SVV5HZY,DurantInternational,"The laptop backpack offers a USB charging port, great for charging your phone or other electronic devices while walking or traveling.  Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.  The bag offers a large carrying capacity for many different items. To make carrying it easier, it has a robust and sturdy body.                                                                                                                                                                                         A reliable option to carry 15.6 inches of laptop with ease  Puffed handles prevent shoulders from being strained while carrying heavy luggage.  The top-notch Nylon Fabric with silky lining ,makes the bag resistant to water.","Fit Type: regular   Material: High Density Nylon Water Resistant Fabric. Size: 48 x 32 x 18 cm. Volume: 32 litre.   Anti-theft backpack: This backpack has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the laptop, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc   Multipurpose laptop compartment for daily office use, college or travel etc. 180 degrees opening. Have enough space for carrying books or one day cloth. Front stash pocket for small book, documents, goggle, medicines etc   Charging on the go: now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple connect your power bank to the wire inside the bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide power bank with this bag   Suitable for 15.6 inch laptop, tablet, power bank, mobiles etc. 12 months warranty."
B0C7CQ1MVD,AcefourAccessoriesPvt.Ltd.,,"Care Instructions: Wipe with Damp Cloth   Fit Type: regular   Handcrafted with care and made up of premium quality robust material. 3x more water resistant material with rainproof zippers and 2.5x more padded shoulder straps   Anti-Theft design, Padded laptop compartment that can fit upto 15.6"" laptop along with a tablet sleeve   Trolley sleeve at the back to secure your luggage, compression straps for the weekend packing   GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty"
B09T71WXSF,"Walkent(OEMGuangzhouLeadingWolfLeatherProductsCo.,Ltd),Walkentstore@gmail.com,Contact+918001655655",This is a modal window. Secure Laptop Bag  Hustle Laptop Bag  Craft Laptop Bag  Bold Laptop Bag  Ritzy Laptop Bag  Aura Laptop Bag  Identity Laptop Bag,"HARD TOP - This 15.6 inch Laptop bag has a black coloured matt hard top and it does not defrom when the bag is empty which makes this bag, good looking all the time and secure contents inside the bag as well   ANTI THEFT COMBINATION LOCK –This bag comes with and is attached with a combination lock to secure your bag. Also has card / cash pockets on shoulder straps along with anti theft back pocket   WATER RESISTANT CUSHIONED COMPARTMENT – Special compartments to store Laptop, Ipad, Tablet etc…. Cushione Laptop Pocket ensures safety of your gadgets   LIGHT WEIGHT & PADDED SHOULDER STRAPS – Light weight bag with padded shoulder straps and air cushioned back makes this bag easy to carry. Weight distribution ergonomics makes carrying heavy load very easy   STYLISH & DURABLE - Stylish laptop bag for men and women for office, college, travel with long durable life"
B0C9GML5N3,STRABOBAGSANDACCESSORIESLLP,,Curated specially for Bag with High Functionality. Premium Design crafted with Trendy Look   Separate Sturdy Padded compartment for your Laptop. Spacious 35L capacity with 46 x 22 x 36 cm   high quality YKK Zip   Air mesh for ventilation   Light weight Bag with padded shoulder strap for ease
B019FBEJCO,GearMerchandisePVTLTD,"Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality.","Outer Material: Polyester, Inner Material: Suede, Color: Green and Grey   Scratch Resistant: Wear resistant, Water resistance: Water resistant; Dimensions: 49 cms x 32 cms x 16 cms (LxWxH)   Number of compartments: 2   Shoulder Strap Drop: 36 cm   Two wide-access main compartments with internal file separator and non-padded sleeve, one additional front pocket, embedded organizer, reinforced grab handle and bartacked load points, double pullers for main compartments, padded anti-sweat shoulder straps, padded back panel and base and Water resistant fabrics   Zippered wide access   Two Wide-Access Main Compartments With Internal File Separartor/Non-Padded Sleeve  Two Wide-Access Main Compartments With Internal File Separartor / Non-Padded SleeveOne Additional Front PocketEmbedded OrganizerReinforced Grab Handle And Bartacked Load PointsDouble Pullers For Main CompartmentsPadded Anti-Sweat Shoulder StrapsPadded Back Panel And BaseWater Resistant Fabrics"
"Narendar Plastics Pvt.Ltd, Narendar Plastics Pvt.Ltd , Survey no.436/1&2, Village Dabhel,Daman-396210(U.T.) Ph no :+91-22-26852500",NarendarPlasticsPvt.Ltd,"Presto! Oxo-Biodegradable Garbage Bags offer a convenient method of garbage disposal. These bags are XL in size and can easily fit any extra large trash cans. They come in black color in a pack of 6 rolls, each containing 10 bags for your convenience.  These garbage bags have a detachable tie-string that you can use to tie up the bag after use. It makes it easier to take them out while throwing out the trash.  These multi-functional waste bags are ideal for use in offices, hotels and restaurants. From effectively clearing out your yard and basement to storing old clothes and seasonal items to disposing of party remnants, these bags cover it all!  Presto! is an international brand from Amazon. We are all about living the clean. That's why we have created a range of effortlessly effective premium household cleaning essentials all with the same purpose - to make messes magically disappear.  Check out our range of toilet cleaners, detergent powders and liquids, bathroom cleaners, spin mops, floor cleaners, glass cleaners, dish wash liquids and soaps.  We also have a range of kitchen tissues, toilet tissues and air fresheners which will make it magically easy to keep your home mess-free and fresh-smelling.","Oxo-Biodegradable Garbage Bags for your home and kitchen   Convenient for clean-up and garbage disposal   Multifunctional use; ideal for office, hotels, parties, household cleaning or storage   Detachable tie-tape to tie up bag after use   Dimensions - 76 cms x 94 cms; Size: XL   Package Contents - 6 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 10 per roll; Colour: Black"
B07PC28YQ9,UberFashionMerchandisePvt.Ltd.,"This F Gear backpack has one compartment and is secured with a  drawstring closure. This backpack is perfect for athletes, swimmers, and  kids. This backpack cannot be used as a school bag.",Lightweight gym bags   Ergonomic Design   Durable   Size-(Hxlxw) Cm-(43x32x2) Cm::Gym Bags   Drawstring closure
"Presto!, Narendra Plastics Pvt. Ltd., Survey No. 436/1 & 436/2, Village Dabhel, Daman - 396210 (U.T.), India.",Presto!,"Presto! decomposable Garbage Bags offer a convenient method of garbage   disposal. These bags are medium in size and can easily fit any normal trash   cans. They come in black color in a pack of 3 rolls. Each roll has 30 bags to   help you take care of the cleanliness and hygiene in your house.  These garbage bags have a detachable tie-string that you can use to tie up   the bag after use. It makes it easier to take them out while throwing out the   trash.  These multi-functional waste bags are ideal for use in offices, hotels and   restaurants. Or quickly disposing off party remnants. From yard clean-up to   kitchen clean-up to even getting rid of leaky baby diapers and pet litter,   these bags are handy for all purposes!  Presto! is an international brand from Amazon. We are all about living the   clean. That's why we have created a range of effortlessly effective premium   household cleaning essentials all with the same purpose - to make messes   magically disappear.       Check out our range of toilet cleaners, detergent powders and liquids,   bathroom cleaners, spin mops, floor cleaners, glass cleaners, dish wash   liquids and soaps.       We also have a range of kitchen tissues, toilet tissues and air fresheners   which will make it magically easy to keep your home mess-free and   fresh-smelling.","Multifunctional use; ideal for office, hotels, household use, parties, baby diapers, and clearing pet's litter   Detachable tie-tape to tie up bag after use   Oxo-Biodegradable Garbage Bags for your home and kitchen   Package Contents - 3 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: Black"
B09TPY1G1W,ADISA,"DESCRIPTION  Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.",Care Instructions: Wipe with Damp Cloth   Material: Water Resistant Light-Weight Polyester<br>   Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>   Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>   Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>   Closure Type: Zipper<br>
B0C1NZLF67,Half_Moon,,"Trendy Design: The Laptop bag for men features a unique, trendy design that makes it stand out from other laptop backpacks. It's perfect for individuals who want to express their style while carrying their laptop.   Secure Laptop Compartment: The 17-inch padded compartment in laptop backpack for men / Laptop bag for men provides secure storage for your device. The padding ensures that your laptop is protected from scratches and bumps while you're on the move.   Front Pockets: The small pockets in College Bags for men / College bag for women in Second Compartment provide easy access to smaller items like your phone, wallet, and keys. These pockets are convenient and ensure that you don't have to dig through the main compartment to find what you need.   Strong Built: The Laptop bag for men is built with strong zippers and stitching that can withstand daily wear and tear. This ensures that your belongings are kept safe and secure in college bag for girls and the backpack for men can hold up to daily use.   Comfortable to Wear: The Laptop bag for men / backpack for men is designed for maximum comfort. The padded shoulder straps and back panel provide added comfort, reducing strain on your back and shoulders while carrying the laptop backpack. This makes it easy to wear the backpack for extended periods of time, whether you're commuting to work or school or going on a trip."
B0C2D2Q52R,TabelitoTradeIndia,"We aim at providing India top-notch designer goods that undergo stringent quality checks and come with a six-month replacement service.  At TABELITO, we specialize in crafting high-quality LAPTOP BRIEFCASE, SCHOOL BACKPACK, COLLEGE BAG, TRAVEL BACKPACK and OFFICE BACKPACKS designed to exceed your expectations. With our commitment to style, comfort, and durability.  Our products are crafted using premium materials and a keen eye for detail. From the robust stitching to the carefully selected fabrics, we ensure that each bag meets the highest standards of quality.","Care Instructions: Hand Wash Only   Fit Type: regular   The front and side zipper compartments of the backpack make it simple to store items like tablets, diaries, pens, pencils, smartphones, cards, change and other small items. The backpack's side pockets make it easy to carry along tiny goods like mini umbrellas and water bottles.   MADE IN INDIA - This ""MAKE IN INDIA"" laptop bag for men has 2 front zip pockets, 2 side bottle pockets, and 1 huge zipped section. For men, women, boys, and girls, this bag works great for the office, school, and college. In fact, it's the ideal all-purpose backpack for men, school bags for girls and boys, college bags for girls and boys and workplace bags for unisex   LAPTOP BACKPACK SPECIFICATIONS - Men's NEO Laptop Backpack; Compartment Size: Up to 15.6 Inches. 30 litres is the capacity. 15 x 11.5 x 3 inches in size.   NEO padded laptop backpack with internal organiser and sleeve that can handle up to 15.6"" laptops. Compatible laptops include those made by HP, Lenovo, Acer, ASUS, and Dell. Your keys, cords, office supplies, and other valuables can be neatly organised inside the organiser to avoid theft.   The Tabelito Casual Backpack is entirely produced in India and goes through strict quality inspections and tests. Water Resistant Material: The material has an advanced IPX4 coating that prevents water from penetrating from any angle.   The backpack features a 30L capacity and a padded laptop pocket that fits a 15.6 inch laptop. Additional necessities that can fit within are a lunchbox, charger, tablet, books, power bank, wallet, and sunglasses."
B07GNGG435,Wildcraft,"Wildcraft presents to you this finely designed backpack that will help you to be certain about the safety of your essentials. It features adjustable straps so that you can carry it with ease. Besides, there is ample space offered to you in the compartment for storing your things in an organized manner. Dimensions - 48 X 34 X 20 cms.Set a new trend by carrying this backpack while going for a weekend getaway with friends or family. Tailored with care, it is both spacious and easy to maintain.",Maestro Plus<br> <br>   Black Coated<br> <br>   Durably built<br> <br>   Special Features: Laptop Compartment; Closure Type: Zipper; Water Resistance Level: Water Resistant; Age Range Description: Adult; Material Type: Polyester; Pattern Name: Solid <br>
B0C5RL3F5L,J.kEnterprises,"The Perfect Laptop Backpack: This backpack is ideal for the storage of your gadgets. It has compartments dedicated for safekeeping of your laptop and other accessories such as tablets, keys, chargers, etc. Durable Build: This laptop bag is durable and sturdy in nature. It is made using Nylon which has a long life. The make of the bag is durable and can take weight upto 7Kgs easily. Water Resistant: This backpack is made from Nylon which is also water resistant in nature. This ensures that your belongings are safe in a light shower. However please note that no bag is ever waterproof as water can always seep in through the zips thus we recommend using a rain cover for 100% protection. Neat Storage: This laptop bag is equipped with multiple internal and external pockets that allow you to segregate your belongings and store them in a neat and organised manner. Organizer Pockets: This bag also has an accessible front zipped pocket. This is ideal for storing small necessities which need to be accessed regularly. It allows convenient accessibility. Comfortable Straps: Apart from having a dignified appearance and an extensive utility, this bag also offers comfort. It has padded shoulder straps that efficiently reduce the strain on your shoulders and back.","Care Instructions: Wipe with Damp Cloth   Fit Type: regular   Product color might slightly vary due to photographic lighting sources or your monitor settings   [PREMIUM QUALITY USB CHARGING PORT & BUILT-IN CABLE] Charge your devices on the move, no need to search for an outlet or untangle messy cables. This smart laptop bag has a Built-in Charging cable and USB Port Type C, Rest assured with safe and efficient charging, thanks to its advanced features like overcharge protection and short circuit prevention.   [WATERPROOF & SCRATCH-RESISTANT] Crafted from premium 300D Oxford waterproof fabric, safeguard your belongings from the elements and accidental spills. Effortlessly open and close the bag with a reliable, high-quality zipper and enjoy a comfortable grip with the cushioned handle.   [DURABLE & SPACIOUS] Built to last with sturdy materials and strong stitching, offering a spacious 32L capacity for all your essentials. [15.6-INCH LAPTOP COMPARTMENT] Safely store your laptop and protect it from scratches and bumps.   [PEN, SUNGLASSES & WATERBOTTLE HOLDER ] Easily access your pens and sunglasses, keeping them secure and organized. And Stay hydrated without hassle, avoiding annoying spills and leaks. Can keep a 500ml bottle.[SPECIALITY] Ideal for IT professionals, professionals traveling in local trains, buses, and day-to-day rough travel with laptops. [PERFECT GIFT] Suitable as a thoughtful birthday or anniversary gift for your loved ones."
B0C1CBY2PJ,AcefourAccessoriesPvt.Ltd.,,"Care Instructions: Wipe with Damp Cloth   Fit Type: regular   Handcrafted with care and made up of premium quality robust material   Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side   Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps   GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty"
B07CDD6YS2,AmbrosiaBags,"The Killer Louis backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.                                                                                                                                                                                         Featuring padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.  This bag features buckle 3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket  Polyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks.","Care Instructions: Hand Wash Only   Fit Type: regular   3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket<br>   Outer Fabric: Durable PU coated Polyester Fabric, inner abric: Strong PU coated polyester fabtic, Hip Strap : No<br>   Well cushioned Laptop compartment for upto 15.6 inch Laptop and spacious enough to carry for two days cloths<br>   Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD)<br>   Strap Type: Adjustable; Pattern Name: Solid; Closure Type: Zipper; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Pocket Description: Utility Pocket; Style Name: Casual; Compartment Description: Up To 15 Inches; Water Resistance Level: Waterproof; Age Range Description: Adult<br>"
B08GY2ZN96,Gear,All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.,"Care Instructions: Wipe with Dry Cloth   Fit Type: regular   : Outer Material: Polyester, Color: Blue, Black   : Water resistant   : Capacity: 16 liters; Weight: 180 grams; Dimensions: 42 cms x 28 cms x 14 cms (LxWxH)   : 1 Main compartments   : Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase   Shoulder straps padded with pp foam/ eva sheet. Anti slip fabric / breathable spongy mesh on shoulder stpars"
B091NZ9MYB,TexcocoEnterprises,"At BENNETT, we specialize in crafting high-quality laptop briefcases, school, college, travel and office backpacks designed to exceed your expectations. With our commitment to style, comfort, and durability.  Our products are crafted using premium materials and a keen eye for detail. From the robust stitching to the carefully selected fabrics, we ensure that each bag meets the highest standards of quality.  Bennett Casual 15.6-inch Laptop Bag school bags, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women  Bennett Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women  Bennett Khadi and Polyester Drax Laptop Bag Sleeve Case Cover Pouch for 15/15.6 inches Laptop  Bennett professional business backpack for men women slim 15.6 inch laptop tablet bag, padded laptop compartment water resistant fabric  24x7 SUPPORT  At BENNETT, your satisfaction is our utmost priority. We strive to ensuring a seamless shopping experience from start to finish. Our dedicated support team is always ready to assist you with any inquiries or concerns you may have.","Compatible Devices - Internal dimensions: 15.6 x 11 x 0.8 inches​​, compatible with most 14-15.6 inch laptop computers or notebook like Macbook Pro/Air/Surface book/HP/Acer/Asus/Samsung Chromebook etc.   Extra Storage Space - Two pockets in front, enough space to keeping mouse, cable, cellphone, memory cards, external hard drive, pens,coins etc.   Ultra-slim & Lightweight - Slim, portable and lightweight to take alone, or slide it into your briefcase, backpack or any other daybag, perfect for business, school or travel.   Shockproof - Multiple Layers Protection, polyester foam padding layer and nylon fabric lining for bump and shock absorption, protect your computer from accidental scratches.   Excellent Detail: Use Exquisite zipper and reinforced stitching on all stress points, ensuring the bag does not fall apart when carrying heavy goods. The first verticle designed laptop bag, you will feel the beauty of simple and good texture."
B0C6QTMYFG,"ZebronicsIndiaPrivateLimited,ZebronicsIndiaPrivateLimited","Zebronics Techsheild A1, 18 Liters, 1 Compartment Laptop Backpack and front pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)","The Zebronics Techsheild A1 backpack comes with 2 compartments,adjustable shoulder straps,side mesh for keeping bottle.   The backpack contains a unique secret pocket on the backside of the backpack.   It contains spacious front pocket that can accommodate your belonging efficiently.   You can keep assets you need for immediate access.Also it contains a safe laptop compartment when you can keep a 15.6inch laptop or smaller ones easily.   Water-resistant, good quality zipper, light weight.   It has a Padded Adjustable Shoulder Straps and a trolley support strap for maximum comfort and to make your travel journey"
"Narendar Plastics Pvt.Ltd, Narendar Plastics Pvt.Ltd , Survey no.436/1&2, Village Dabhel,Daman-396210(U.T.) Ph no :+91-22-26852500",NarendarPlasticsPvt.Ltd,"Presto! Oxo-Biodegradable Garbage Bags offer a convenient method of garbage disposal. These bags are small in size and can easily fit any small trash cans. They come in black color in a pack of 6 rolls. Each roll has 30 bags to help you take care of the cleanliness and hygiene in your house.  These garbage bags have a detachable tie-string that you can use to tie up the bag after use. It makes it easier to take them out while throwing out the trash.  These multi-functional waste bags are ideal for use in offices, hotels and restaurants. Or quickly disposing off party remnants. From yard clean-up to kitchen clean-up to even getting rid of leaky baby diapers and pet litter, these bags are handy for all purposes!  Presto! is an international brand from Amazon. We are all about living the clean. That's why we have created a range of effortlessly effective premium household cleaning essentials all with the same purpose - to make messes magically disappear.  Check out our range of toilet cleaners, detergent powders and liquids, bathroom cleaners, spin mops, floor cleaners, glass cleaners, dish wash liquids and soaps.  We also have a range of kitchen tissues, toilet tissues and air fresheners which will make it magically easy to keep your home mess-free and fresh-smelling.","Convenient for clean-up and garbage disposal   Multifunctional use; ideal for office, hotels, household use, parties, baby diapers, and clearing pet's litter   Detachable tie-tape to tie up bag after use   Dimensions - 43 cms x 48 cms; Size: Small   Oxo-Biodegradable Garbage Bags for your home and kitchen   Package Contents - 6 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: Black"
